display_name,id,dimensions,asset_path,icon_path
2VM KIT,CB-2M,W896*D500*H900,,
3VM KIT,CB-3M,W1336*D500*H900,,
3VM KIT Incl End Cap,CB-3M-END,W2000*D500*H900,,
Accessories Table Hook,HK-2,W270,,
Accessories Table Incl Hooks & Shelves,AT,W1800*D900*H900,,
Base Cabinet,BC-1,W915*D510*H900,,
Base Wall (Non-rail type),BW-2,W915*D100*H2200,,
Base Wall (Rail type),BW-1,W915*D100*H2200,,
Box Frame,BP-1,W913*D148*H267,,
Brand Wall (2x1),BRW-2X1,NONE,,
Brand Wall (2x2),BRW-2X2,NONE,,
Brand Wall (3x3),BRW-3X3,NONE,,
Concrete Wall Panel,WP-1,W915*D12*H2200,,
CS Table (2 Persons),CS-2,W1600*D800*H1050 (2 persons),,
CS Table (3 Persons),CS-3,W2300*D800*H1050 (3 persons),,
CS Table (4 Persons),CS-4,W3000*D800*H1050 (4 persons),,
CS Table (5 Persons),CS-5,W3700*D800*H1050 (5 persons),,
Flat Panel Black Mohair,FP-5,W913*D18*H267.5 (Black Mohair 30mm / visible 20mm),,
Flat Panel White Full,FP-8,W913*D18*H1287,,
Flat Panel White High,FP-2,W913*D18*H267.5,,
Flat Panel White Hole,FP-7,W913*D18*H1287 (Hole size: 100*150),,
Flat Panel White Low,FP-1,W913*D18*H193,,
Hook,HK-1,W130 (Color: Black),,
Key Visual Panel,KV-1,W913*D40*H815 (Image size only: 873*775),,
L-shape Panel,LP-1,W913*D148*H267.5,,
Narrow 1VM End Cap,NAR-1M-END,W495*D1000*H900,,
Narrow 4VM,NAR-4M,W870.5*D1000*H900,,
Narrow 6VM,NAR-6M,W1306*D1000*H900,,
Training Table (4 Persons),TT-2,W1300*D800*H900,,
Training Table (6 Persons),TT-1,W1800*D800*H900,,
Wooden Stool,WS-3,W400*D300*H580,,
Zig,Z-1,NONE,,
Samsung,S2,Vari.,,
Galaxy,S3,W953*H200*THK25,,
Checkout,S4,H110 (Color: black / back-lighting),,
Customer Service,S5,H110 (Color: black / back-lighting),,
